timestamp,market,slug,side,entry_price,exit_price,entry_second,exit_second,reason,btc_at_entry,btc_at_exit,btc_ret_at_entry,btc_ret_at_exit,pnl_gross,pnl_net,fees,balance
2026-02-12T01:11:44.826199+00:00,"Bitcoin Up or Down - February 11, 8:00PM-8:15PM ET",btc-updown-15m-1770858000,UP,0.5900,0.9700,363,705,TAKE_PROFIT,67515.48,67593.72,0.000553,0.001713,12.88,12.08,0.80,12.75
2026-02-12T01:28:35.229793+00:00,"Bitcoin Up or Down - February 11, 8:15PM-8:30PM ET",btc-updown-15m-1770858900,DOWN,0.5600,0.0100,301,815,RESOLUTION,67657.86,67829.73,-0.000622,0.001916,-19.64,-20.44,0.80,-7.69
2026-02-12T01:42:33.335472+00:00,"Bitcoin Up or Down - February 11, 8:30PM-8:45PM ET",btc-updown-15m-1770859800,UP,0.5900,0.9700,430,753,TAKE_PROFIT,67883.00,67968.47,0.001085,0.002346,12.88,12.08,0.80,12.08
2026-02-12T02:15:01.356181+00:00,"Bitcoin Up or Down - February 11, 9:00PM-9:15PM ET",btc-updown-15m-1770861600,UP,0.5400,0.0000,500,901,RESOLUTION,67747.11,67493.51,0.000930,-0.002817,-20.00,-20.80,0.80,-8.72
2026-02-12T02:29:55.428915+00:00,"Bitcoin Up or Down - February 11, 9:15PM-9:30PM ET",btc-updown-15m-1770862500,UP,0.6000,0.4100,380,895,RESOLUTION,67545.69,67455.83,0.000773,-0.000558,-6.33,-7.13,0.80,-15.85
2026-02-12T02:54:27.252425+00:00,"Bitcoin Up or Down - February 11, 9:45PM-10:00PM ET",btc-updown-15m-1770864300,DOWN,0.5700,0.9700,426,567,TAKE_PROFIT,67695.72,67602.01,-0.000661,-0.002044,14.04,13.24,0.80,13.24
2026-02-12T03:14:55.468068+00:00,"Bitcoin Up or Down - February 11, 10:00PM-10:15PM ET",btc-updown-15m-1770865200,UP,0.7500,0.9500,301,895,RESOLUTION,67542.30,67478.10,0.001685,0.000733,5.33,4.53,0.80,17.77
2026-02-12T03:24:48.664194+00:00,"Bitcoin Up or Down - February 11, 10:15PM-10:30PM ET",btc-updown-15m-1770866100,DOWN,0.7100,0.9700,300,589,TAKE_PROFIT,67390.92,67351.64,-0.001338,-0.001920,7.32,6.52,0.80,24.29
2026-02-12T03:43:19.465507+00:00,"Bitcoin Up or Down - February 11, 10:30PM-10:45PM ET",btc-updown-15m-1770867000,UP,0.6800,0.9700,300,799,TAKE_PROFIT,67448.20,67480.00,0.001038,0.001510,8.53,7.73,0.80,32.02
2026-02-12T03:59:33.111712+00:00,"Bitcoin Up or Down - February 11, 10:45PM-11:00PM ET",btc-updown-15m-1770867900,UP,0.5900,0.9700,513,873,TAKE_PROFIT,67525.32,67574.11,0.000896,0.001619,12.88,12.08,0.80,44.10
